InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account
INV20260600434,JV20260600434,SO20260600434,2026-06-20,HCM-Q1,NV012,Chuyển khoản,KT-EFA122,Ấm siêu tốc,Sunhouse,Daikin,2,761212,0.08,1400630,0.08,112050,1512680,467000,934000,466630,0.3332,1512680,1400630,112050,934000,934000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600435,JV20260600435,SO20260600435,2026-06-23,DN-HC,NV025,Chuyển khoản,BL-3258EA,Máy xay,Panasonic Blender,Mitsubishi,2,2781979,0.19,4506805,0.08,360544,4867349,1880000,3760000,746805,0.1657,4867349,4506805,360544,3760000,3760000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600436,JV20260600436,SO20260600436,2026-06-17,HN-HBT,NV029,Chuyển khoản,VC-A4DECF,Máy hút bụi,Dyson V8,Mitsubishi,1,10501572,0.18,8611289,0.08,688903,9300192,6561000,6561000,2050289,0.2381,9300192,8611289,688903,6561000,6561000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600437,JV20260600437,SO20260600437,2026-06-05,DN-HC,NV017,Ví điện tử,TV-ADCC29,TV,"TCL 50""",Sony,3,13631652,0.15,34760712,0.08,2780856,37541568,11655000,34965000,-204288,-0.0059,37541568,34760712,2780856,34965000,34965000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600438,JV20260600438,SO20260600438,2026-06-07,HN-HBT,NV009,Tiền mặt,RF-FB4D4D,Tủ lạnh,Samsung Inverter 350L,Samsung,3,10538942,0.2,25293460,0.08,2023476,27316936,8450000,25350000,-56540,-0.0022,27316936,25293460,2023476,25350000,25350000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600439,JV20260600439,SO20260600439,2026-06-12,HCM-Q7,NV010,Tiền mặt,WM-B05DAD,Máy giặt,LG 9kg,Sony,3,12454621,0.14,32132922,0.08,2570633,34703555,10279000,30837000,1295922,0.0403,34703555,32132922,2570633,30837000,30837000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600440,JV20260600440,SO20260600440,2026-06-14,CT-NK,NV030,Tiền mặt,RC-56CDC9,Nồi cơm,Sharp 1.8L,Sharp,3,2387471,0.16,6016426,0.08,481314,6497740,1487000,4461000,1555426,0.2585,6497740,6016426,481314,4461000,4461000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600441,JV20260600441,SO20260600441,2026-06-25,HN-HBT,NV011,Trả góp,BL-8AFBB7,Máy xay,Panasonic Blender,Xiaomi,2,2214444,0.06,4163154,0.08,333052,4496206,1558000,3116000,1047154,0.2515,4496206,4163154,333052,3116000,3116000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600442,JV20260600442,SO20260600442,2026-06-18,CT-NK,NV001,Trả góp,TV-C528C6,TV,LG OLED 48,Cuckoo,3,25965860,0.01,77118604,0.08,6169488,83288092,21120000,63360000,13758604,0.1784,83288092,77118604,6169488,63360000,63360000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600443,JV20260600443,SO20260600443,2026-06-09,HCM-Q7,NV022,Ví điện tử,AC-4CE3DD,Máy lạnh,Panasonic 1.5HP,Samsung,2,12884866,0.2,20615785,0.08,1649262,22265047,9864000,19728000,887785,0.0431,22265047,20615785,1649262,19728000,19728000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600444,JV20260600444,SO20260600444,2026-06-16,BD-TDM,NV009,Ví điện tử,RF-E1EA3E,Tủ lạnh,Samsung Inverter 350L,Sunhouse,2,11637285,0.11,20714367,0.08,1657149,22371516,8975000,17950000,2764367,0.1335,22371516,20714367,1657149,17950000,17950000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600445,JV20260600445,SO20260600445,2026-06-25,HCM-TB,NV019,Trả góp,RF-6FD99B,Tủ lạnh,Panasonic 300L,Casper,3,6644622,0.2,15947092,0.08,1275767,17222859,5126000,15378000,569092,0.0357,17222859,15947092,1275767,15378000,15378000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600446,JV20260600446,SO20260600446,2026-06-26,HCM-Q1,NV003,Thẻ,VC-36242C,Máy hút bụi,Xiaomi G10,Sony,1,11015896,0.02,10795578,0.08,863646,11659224,7926000,7926000,2869578,0.2658,11659224,10795578,863646,7926000,7926000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600447,JV20260600447,SO20260600447,2026-06-28,DN-HC,NV017,Tiền mặt,BL-67F131,Máy xay,Sunhouse Blender,Panasonic,1,547729,0.05,520342,0.08,41627,561969,381000,381000,139342,0.2678,561969,520342,41627,381000,381000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600448,JV20260600448,SO20260600448,2026-06-04,HN-CG,NV020,Ví điện tử,WM-EE77C3,Máy giặt,Toshiba 9kg,Panasonic,3,16633291,0.03,48402876,0.08,3872230,52275106,13373000,40119000,8283876,0.1711,52275106,48402876,3872230,40119000,40119000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600449,JV20260600449,SO20260600449,2026-06-01,HCM-Q1,NV016,Chuyển khoản,KT-63AE81,Ấm siêu tốc,Kangaroo,Daikin,2,505149,0.12,889062,0.08,71124,960186,302000,604000,285062,0.3206,960186,889062,71124,604000,604000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600450,JV20260600450,SO20260600450,2026-06-06,HCM-TB,NV005,Thẻ,MW-21A949,Lò vi sóng,Panasonic 25L,Cuckoo,3,4627278,0.15,11799558,0.08,943964,12743522,2971000,8913000,2886558,0.2446,12743522,11799558,943964,8913000,8913000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600451,JV20260600451,SO20260600451,2026-06-24,HCM-TB,NV028,Ví điện tử,AC-E7C43D,Máy lạnh,Panasonic 1.5HP,Casper,2,15859927,0.03,30768258,0.08,2461460,33229718,11661000,23322000,7446258,0.242,33229718,30768258,2461460,23322000,23322000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600452,JV20260600452,SO20260600452,2026-06-23,HCM-Q1,NV003,Thẻ,RC-666E15,Nồi cơm,Sunhouse 1.2L,Panasonic,2,3871440,0.17,6426590,0.08,514127,6940717,2370000,4740000,1686590,0.2624,6940717,6426590,514127,4740000,4740000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600453,JV20260600453,SO20260600453,2026-06-02,HN-HBT,NV024,Tiền mặt,KT-881318,Ấm siêu tốc,Sunhouse,Sony,1,956156,0.01,946594,0.08,75727,1022321,603000,603000,343594,0.363,1022321,946594,75727,603000,603000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600454,JV20260600454,SO20260600454,2026-06-23,DN-HC,NV003,Tiền mặt,FN-6CD351,Quạt,Panasonic,Aqua,2,1003685,0.13,1746411,0.08,139712,1886123,636000,1272000,474411,0.2716,1886123,1746411,139712,1272000,1272000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600455,JV20260600455,SO20260600455,2026-06-13,HN-HBT,NV011,Ví điện tử,TV-8A011F,TV,LG OLED 48,Philips,3,29224516,0.12,77152722,0.08,6172217,83324939,24354000,73062000,4090722,0.053,83324939,77152722,6172217,73062000,73062000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600456,JV20260600456,SO20260600456,2026-06-04,HCM-Q7,NV025,Chuyển khoản,KT-988AF8,Ấm siêu tốc,Kangaroo,Senko,3,831510,0.13,2170241,0.08,173619,2343860,591000,1773000,397241,0.183,2343860,2170241,173619,1773000,1773000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600457,JV20260600457,SO20260600457,2026-06-27,HN-HBT,NV007,Ví điện tử,MW-21A949,Lò vi sóng,Panasonic 25L,Cuckoo,1,3900006,0.09,3549005,0.08,283920,3832925,2716000,2716000,833005,0.2347,3832925,3549005,283920,2716000,2716000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600458,JV20260600458,SO20260600458,2026-06-06,HCM-Q1,NV004,Chuyển khoản,RC-53400C,Nồi cơm,Panasonic 1.8L,Aqua,1,826893,0.08,760741,0.08,60859,821600,559000,559000,201741,0.2652,821600,760741,60859,559000,559000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600459,JV20260600459,SO20260600459,2026-06-27,HCM-Q7,NV024,Tiền mặt,KT-2ABC39,Ấm siêu tốc,Kangaroo,Mitsubishi,3,1302684,0.03,3790810,0.08,303264,4094074,894000,2682000,1108810,0.2925,4094074,3790810,303264,2682000,2682000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600460,JV20260600460,SO20260600460,2026-06-10,DN-HC,NV010,Ví điện tử,WM-C8CAA6,Máy giặt,Toshiba 9kg,Daikin,3,13352043,0.18,32846025,0.08,2627682,35473707,10113000,30339000,2507025,0.0763,35473707,32846025,2627682,30339000,30339000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600461,JV20260600461,SO20260600461,2026-06-07,HN-HBT,NV005,Chuyển khoản,TV-299EB8,TV,LG OLED 48,Electrolux,2,17428988,0.18,28583540,0.08,2286683,30870223,14911000,29822000,-1238460,-0.0433,30870223,28583540,2286683,29822000,29822000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600462,JV20260600462,SO20260600462,2026-06-09,HCM-Q7,NV003,Thẻ,VC-4F893C,Máy hút bụi,Dyson V8,Daikin,1,9627470,0.13,8375898,0.08,670071,9045969,6494000,6494000,1881898,0.2247,9045969,8375898,670071,6494000,6494000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600463,JV20260600463,SO20260600463,2026-06-26,HCM-Q7,NV009,Tiền mặt,BL-21A1FA,Máy xay,Sunhouse Blender,Electrolux,1,1044628,0.04,1002842,0.08,80227,1083069,681000,681000,321842,0.3209,1083069,1002842,80227,681000,681000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600464,JV20260600464,SO20260600464,2026-06-09,HN-CG,NV023,Thẻ,VC-110A19,Máy hút bụi,Philips FC,Philips,3,5753310,0.08,15879135,0.08,1270330,17149465,3543000,10629000,5250135,0.3306,17149465,15879135,1270330,10629000,10629000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600465,JV20260600465,SO20260600465,2026-06-15,CT-NK,NV004,Thẻ,WM-1ED27C,Máy giặt,Panasonic 8.5kg,Cuckoo,2,9338851,0.04,17930593,0.08,1434447,19365040,7418000,14836000,3094593,0.1726,19365040,17930593,1434447,14836000,14836000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600466,JV20260600466,SO20260600466,2026-06-27,HCM-TB,NV016,Thẻ,VC-DE537A,Máy hút bụi,Dyson V8,Electrolux,3,3388338,0.12,8945212,0.08,715616,9660828,2155000,6465000,2480212,0.2773,9660828,8945212,715616,6465000,6465000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600467,JV20260600467,SO20260600467,2026-06-19,CT-NK,NV018,Tiền mặt,BL-C9164C,Máy xay,Philips Blender,Senko,3,2537143,0.18,6241371,0.08,499309,6740680,1751000,5253000,988371,0.1584,6740680,6241371,499309,5253000,5253000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600468,JV20260600468,SO20260600468,2026-06-18,BD-TDM,NV017,Tiền mặt,VC-A60FBD,Máy hút bụi,Philips FC,Asia,1,8906317,0.06,8371937,0.08,669754,9041691,6264000,6264000,2107937,0.2518,9041691,8371937,669754,6264000,6264000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600469,JV20260600469,SO20260600469,2026-06-12,BD-TDM,NV011,Ví điện tử,RC-120EAC,Nồi cơm,Sunhouse 1.2L,Sharp,1,1252779,0.1,1127501,0.08,90200,1217701,871000,871000,256501,0.2275,1217701,1127501,90200,871000,871000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600470,JV20260600470,SO20260600470,2026-06-10,DN-HC,NV020,Trả góp,RF-D9A75C,Tủ lạnh,Samsung Inverter 350L,Sony,3,15067431,0.13,39325994,0.08,3146079,42472073,12604000,37812000,1513994,0.0385,42472073,39325994,3146079,37812000,37812000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600471,JV20260600471,SO20260600471,2026-06-08,HN-HBT,NV013,Thẻ,BL-01E9C7,Máy xay,Panasonic Blender,Samsung,2,737235,0.04,1415491,0.08,113239,1528730,509000,1018000,397491,0.2808,1528730,1415491,113239,1018000,1018000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600472,JV20260600472,SO20260600472,2026-06-16,HN-CG,NV002,Ví điện tử,WM-4E5FAA,Máy giặt,Toshiba 9kg,Sharp,1,13776748,0.07,12812375,0.08,1024990,13837365,10821000,10821000,1991375,0.1554,13837365,12812375,1024990,10821000,10821000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600473,JV20260600473,SO20260600473,2026-06-08,CT-NK,NV010,Ví điện tử,KT-BD9201,Ấm siêu tốc,Kangaroo,Aqua,2,1116529,0.17,1853438,0.08,148275,2001713,729000,1458000,395438,0.2134,2001713,1853438,148275,1458000,1458000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600474,JV20260600474,SO20260600474,2026-06-18,CT-NK,NV020,Trả góp,BL-271795,Máy xay,Panasonic Blender,Sony,2,1559666,0.18,2557852,0.08,204628,2762480,872000,1744000,813852,0.3182,2762480,2557852,204628,1744000,1744000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600475,JV20260600475,SO20260600475,2026-06-16,BD-TDM,NV029,Trả góp,WM-F9045A,Máy giặt,LG 9kg,Casper,3,15818157,0.12,41759934,0.08,3340794,45100728,13194000,39582000,2177934,0.0522,45100728,41759934,3340794,39582000,39582000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600476,JV20260600476,SO20260600476,2026-06-21,CT-NK,NV012,Ví điện tử,BL-6730F4,Máy xay,Panasonic Blender,Sharp,1,2154829,0.01,2133280,0.08,170662,2303942,1275000,1275000,858280,0.4023,2303942,2133280,170662,1275000,1275000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600477,JV20260600477,SO20260600477,2026-06-15,BD-TDM,NV019,Thẻ,FN-0333B4,Quạt,Asia,Daikin,2,2013913,0.07,3745878,0.08,299670,4045548,1373000,2746000,999878,0.2669,4045548,3745878,299670,2746000,2746000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600478,JV20260600478,SO20260600478,2026-06-07,CT-NK,NV002,Chuyển khoản,TV-3F699A,TV,LG OLED 48,Aqua,1,32280243,0.2,25824194,0.08,2065935,27890129,26945000,26945000,-1120806,-0.0434,27890129,25824194,2065935,26945000,26945000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600479,JV20260600479,SO20260600479,2026-06-24,HCM-Q7,NV013,Chuyển khoản,FN-464655,Quạt,Panasonic,Toshiba,3,909600,0.04,2619648,0.08,209571,2829219,512000,1536000,1083648,0.4137,2829219,2619648,209571,1536000,1536000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600480,JV20260600480,SO20260600480,2026-06-11,BD-TDM,NV006,Tiền mặt,WM-C38973,Máy giặt,Samsung 10kg,Aqua,1,5516314,0.16,4633703,0.08,370696,5004399,4425000,4425000,208703,0.045,5004399,4633703,370696,4425000,4425000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600481,JV20260600481,SO20260600481,2026-06-30,DN-HC,NV023,Tiền mặt,BL-E1AB41,Máy xay,Sunhouse Blender,Casper,2,453388,0.1,816098,0.08,65287,881385,283000,566000,250098,0.3065,881385,816098,65287,566000,566000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600482,JV20260600482,SO20260600482,2026-06-10,BD-TDM,NV018,Chuyển khoản,RC-588B19,Nồi cơm,Sunhouse 1.2L,Electrolux,3,3306423,0.08,9125727,0.08,730058,9855785,1973000,5919000,3206727,0.3514,9855785,9125727,730058,5919000,5919000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600483,JV20260600483,SO20260600483,2026-06-26,HN-HBT,NV009,Ví điện tử,KT-3F3135,Ấm siêu tốc,Sunhouse,Sharp,2,960718,0.13,1671649,0.08,133731,1805380,632000,1264000,407649,0.2439,1805380,1671649,133731,1264000,1264000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600484,JV20260600484,SO20260600484,2026-06-09,HCM-Q7,NV023,Trả góp,FN-3C43A6,Quạt,Asia,Philips,3,2329295,0.19,5660186,0.08,452814,6113000,1617000,4851000,809186,0.143,6113000,5660186,452814,4851000,4851000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600485,JV20260600485,SO20260600485,2026-06-04,CT-NK,NV014,Trả góp,RC-189134,Nồi cơm,Sunhouse 1.2L,Samsung,1,1566976,0.15,1331929,0.08,106554,1438483,1005000,1005000,326929,0.2455,1438483,1331929,106554,1005000,1005000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600486,JV20260600486,SO20260600486,2026-06-24,DN-HC,NV006,Chuyển khoản,TV-92EE57,TV,LG OLED 48,LG,1,31273147,0.03,30334952,0.08,2426796,32761748,25321000,25321000,5013952,0.1653,32761748,30334952,2426796,25321000,25321000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600487,JV20260600487,SO20260600487,2026-06-20,HCM-Q1,NV003,Ví điện tử,WM-9170CB,Máy giặt,LG 9kg,LG,1,8358371,0.07,7773285,0.08,621862,8395147,7103000,7103000,670285,0.0862,8395147,7773285,621862,7103000,7103000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600488,JV20260600488,SO20260600488,2026-06-25,CT-NK,NV008,Trả góp,VC-D4F050,Máy hút bụi,Xiaomi G10,Samsung,3,11086877,0.14,28604142,0.08,2288331,30892473,6684000,20052000,8552142,0.299,30892473,28604142,2288331,20052000,20052000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600489,JV20260600489,SO20260600489,2026-06-20,CT-NK,NV007,Tiền mặt,FN-FF4EE8,Quạt,Panasonic,Sunhouse,1,1283767,0.15,1091201,0.08,87296,1178497,780000,780000,311201,0.2852,1178497,1091201,87296,780000,780000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600490,JV20260600490,SO20260600490,2026-06-01,HN-HBT,NV006,Thẻ,KT-9BE99C,Ấm siêu tốc,Philips,Panasonic,2,415879,0.02,815122,0.08,65209,880331,239000,478000,337122,0.4136,880331,815122,65209,478000,478000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600491,JV20260600491,SO20260600491,2026-06-23,HCM-TB,NV006,Ví điện tử,TV-43365F,TV,"Samsung 55"" 4K",Cuckoo,3,31427610,0.02,92397173,0.08,7391773,99788946,25149000,75447000,16950173,0.1834,99788946,92397173,7391773,75447000,75447000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600492,JV20260600492,SO20260600492,2026-06-11,HCM-Q7,NV017,Ví điện tử,FN-04019E,Quạt,Senko,Philips,1,960133,0.1,864119,0.08,69129,933248,619000,619000,245119,0.2837,933248,864119,69129,619000,619000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600493,JV20260600493,SO20260600493,2026-06-18,DN-HC,NV027,Trả góp,WM-AD6A90,Máy giặt,Panasonic 8.5kg,Electrolux,1,15115402,0.19,12243475,0.08,979478,13222953,12483000,12483000,-239525,-0.0196,13222953,12243475,979478,12483000,12483000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600494,JV20260600494,SO20260600494,2026-06-18,HCM-Q1,NV006,Tiền mặt,KT-DE6FC8,Ấm siêu tốc,Kangaroo,Sharp,1,1160110,0.02,1136907,0.08,90952,1227859,605000,605000,531907,0.4679,1227859,1136907,90952,605000,605000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600495,JV20260600495,SO20260600495,2026-06-18,HCM-TB,NV013,Chuyển khoản,AC-B90290,Máy lạnh,Panasonic 1.5HP,Mitsubishi,3,21619085,0.16,54480094,0.08,4358407,58838501,15205000,45615000,8865094,0.1627,58838501,54480094,4358407,45615000,45615000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600496,JV20260600496,SO20260600496,2026-06-21,HCM-TB,NV027,Trả góp,BL-6B4572,Máy xay,Philips Blender,Cuckoo,2,2322612,0.02,4552319,0.08,364185,4916504,1710000,3420000,1132319,0.2487,4916504,4552319,364185,3420000,3420000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600497,JV20260600497,SO20260600497,2026-06-04,HN-CG,NV009,Thẻ,KT-80B935,Ấm siêu tốc,Kangaroo,LG,2,432189,0.17,717433,0.08,57394,774827,291000,582000,135433,0.1888,774827,717433,57394,582000,582000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600498,JV20260600498,SO20260600498,2026-06-16,BD-TDM,NV026,Ví điện tử,BL-21A1FA,Máy xay,Sunhouse Blender,Electrolux,3,659312,0.04,1898818,0.08,151905,2050723,440000,1320000,578818,0.3048,2050723,1898818,151905,1320000,1320000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600499,JV20260600499,SO20260600499,2026-06-21,DN-HC,NV012,Trả góp,RC-F33150,Nồi cơm,Panasonic 1.8L,Casper,3,1234368,0.19,2999514,0.08,239961,3239475,832000,2496000,503514,0.1679,3239475,2999514,239961,2496000,2496000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600500,JV20260600500,SO20260600500,2026-06-03,HCM-TB,NV025,Ví điện tử,TV-74BDA3,TV,LG OLED 48,Sunhouse,2,32597934,0.03,63239991,0.08,5059199,68299190,25505000,51010000,12229991,0.1934,68299190,63239991,5059199,51010000,51010000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
