ShipmentID,PickNo,OrderID,OrderDate,ShippedAt,DeliveredAt,Store,Warehouse,SKU,Category,Product,Brand,Qty,UnitCost,TotalCost,Carrier,DeliveryFee,DeliveryStatus
SHIP20260600341,PICK20260600341,SO20260600341,2026-06-03 19:26,2026-06-04 02:35,2026-06-05 05:00,DN-HC,WH-DN-01,RF-40AAB7,Tủ lạnh,Samsung Inverter 350L,Electrolux,2,12648000,25296000,Ahamove,215000,Giao lại
SHIP20260600342,PICK20260600342,SO20260600342,2026-06-11 13:12,2026-06-12 07:04,2026-06-13 06:39,HCM-Q7,WH-HCM-02,BL-A4BCD6,Máy xay,Philips Blender,Sunhouse,2,1748000,3496000,Nội bộ,120000,Đã giao
SHIP20260600343,PICK20260600343,SO20260600343,2026-06-22 17:04,2026-06-23 05:49,2026-06-24 01:46,HN-HBT,WH-HN-02,WM-6ADDCB,Máy giặt,LG 9kg,Electrolux,1,12241000,12241000,Nội bộ,120000,Giao lại
SHIP20260600344,PICK20260600344,SO20260600344,2026-06-18 09:19,2026-06-18 15:40,2026-06-19 11:43,HCM-Q1,WH-HCM-01,WM-911CBD,Máy giặt,LG 9kg,Cuckoo,1,3971000,3971000,GHN,120000,Hoàn tất
SHIP20260600345,PICK20260600345,SO20260600345,2026-06-04 14:25,2026-06-05 09:07,2026-06-05 21:49,HN-HBT,WH-HN-02,FN-4806DD,Quạt,Panasonic,Mitsubishi,3,464000,1392000,Xe tải thuê ngoài,45000,Đã giao
SHIP20260600346,PICK20260600346,SO20260600346,2026-06-30 13:50,2026-07-01 07:59,2026-07-01 10:15,HN-HBT,WH-HN-02,FN-230559,Quạt,Asia,Sharp,3,354000,1062000,Xe tải thuê ngoài,65000,Hoàn tất
SHIP20260600347,PICK20260600347,SO20260600347,2026-06-10 17:50,2026-06-11 06:32,2026-06-12 03:32,CT-NK,WH-CT-01,TV-92EE57,TV,LG OLED 48,LG,1,12008000,12008000,Nội bộ,45000,Đã giao
SHIP20260600348,PICK20260600348,SO20260600348,2026-06-04 12:28,2026-06-04 23:02,2026-06-05 20:51,HCM-TB,WH-HCM-03,BL-E21F60,Máy xay,Philips Blender,Electrolux,1,1756000,1756000,Xe tải thuê ngoài,35000,Đã giao
SHIP20260600349,PICK20260600349,SO20260600349,2026-06-25 08:17,2026-06-25 18:04,2026-06-26 07:00,HCM-Q1,WH-HCM-01,MW-42D56C,Lò vi sóng,Electrolux 23L,Sony,2,2172000,4344000,GHN,0,Đã giao
SHIP20260600350,PICK20260600350,SO20260600350,2026-06-21 10:11,2026-06-21 14:18,2026-06-23 01:39,HN-HBT,WH-HN-02,WM-D9AB8A,Máy giặt,Samsung 10kg,Mitsubishi,2,11409000,22818000,Nội bộ,205000,Đã giao
SHIP20260600351,PICK20260600351,SO20260600351,2026-06-04 20:13,2026-06-05 11:57,2026-06-06 06:49,HN-CG,WH-HN-01,WM-97FE8B,Máy giặt,Toshiba 9kg,Toshiba,1,3634000,3634000,GrabExpress,90000,Hoàn tất
SHIP20260600352,PICK20260600352,SO20260600352,2026-06-25 20:32,2026-06-26 00:12,2026-06-27 04:38,HCM-Q1,WH-HCM-01,TV-F84775,TV,"Sony 65""",Xiaomi,3,27483000,82449000,Xe tải thuê ngoài,185000,Giao lại
SHIP20260600353,PICK20260600353,SO20260600353,2026-06-24 13:02,2026-06-25 01:53,2026-06-25 05:23,CT-NK,WH-CT-01,RF-A0C9D4,Tủ lạnh,LG 420L,Panasonic,1,10771000,10771000,GHN,35000,Giao lại
SHIP20260600354,PICK20260600354,SO20260600354,2026-06-17 17:06,2026-06-17 22:20,2026-06-18 20:01,HN-HBT,WH-HN-02,MW-C368CC,Lò vi sóng,Sharp 20L,Sunhouse,1,3599000,3599000,GHN,35000,Hoàn tất
SHIP20260600355,PICK20260600355,SO20260600355,2026-06-13 16:28,2026-06-13 21:00,2026-06-14 05:09,CT-NK,WH-CT-01,KT-60A177,Ấm siêu tốc,Kangaroo,Cuckoo,3,665000,1995000,Ahamove,0,Đã giao
SHIP20260600356,PICK20260600356,SO20260600356,2026-06-29 13:37,2026-06-30 00:55,2026-06-30 14:48,BD-TDM,WH-BD-01,FN-166747,Quạt,Senko,LG,2,1486000,2972000,GrabExpress,45000,Đã giao
SHIP20260600357,PICK20260600357,SO20260600357,2026-06-09 17:41,2026-06-10 04:42,2026-06-11 02:36,DN-HC,WH-DN-01,FN-AB0CC6,Quạt,Asia,Xiaomi,3,830000,2490000,GrabExpress,35000,Đã giao
SHIP20260600358,PICK20260600358,SO20260600358,2026-06-05 18:48,2026-06-05 23:47,2026-06-06 18:42,HCM-Q1,WH-HCM-01,RF-99918D,Tủ lạnh,LG 420L,Casper,2,11531000,23062000,GHN,145000,Đã giao
SHIP20260600359,PICK20260600359,SO20260600359,2026-06-23 12:04,2026-06-23 21:51,2026-06-24 23:01,HN-HBT,WH-HN-02,BL-27A8DA,Máy xay,Philips Blender,Sharp,3,943000,2829000,Ahamove,0,Đã giao
SHIP20260600360,PICK20260600360,SO20260600360,2026-06-11 17:28,2026-06-12 10:39,2026-06-13 04:29,HN-CG,WH-HN-01,RC-3298C0,Nồi cơm,Sunhouse 1.2L,Asia,3,1053000,3159000,GHN,35000,Hoàn tất
SHIP20260600361,PICK20260600361,SO20260600361,2026-06-19 16:08,2026-06-19 18:31,2026-06-19 22:31,DN-HC,WH-DN-01,MW-278BC7,Lò vi sóng,Electrolux 23L,Mitsubishi,3,4623000,13869000,GrabExpress,240000,Hoàn tất
SHIP20260600362,PICK20260600362,SO20260600362,2026-06-15 10:44,2026-06-15 22:25,2026-06-16 10:05,BD-TDM,WH-BD-01,FN-2D5413,Quạt,Senko,Aqua,2,1084000,2168000,Ahamove,25000,Đã giao
SHIP20260600363,PICK20260600363,SO20260600363,2026-06-12 12:33,2026-06-12 14:12,2026-06-13 13:21,HCM-Q1,WH-HCM-01,WM-EAF44E,Máy giặt,Panasonic 8.5kg,Panasonic,1,9621000,9621000,GrabExpress,65000,Đã giao
SHIP20260600364,PICK20260600364,SO20260600364,2026-06-05 17:15,2026-06-06 07:32,2026-06-07 13:45,HN-CG,WH-HN-01,RF-0980E0,Tủ lạnh,Samsung Inverter 350L,Mitsubishi,3,9398000,28194000,GrabExpress,240000,Đã giao
SHIP20260600365,PICK20260600365,SO20260600365,2026-06-09 20:14,2026-06-10 11:13,2026-06-10 17:30,HN-HBT,WH-HN-02,TV-507A1B,TV,"Samsung 55"" 4K",Sharp,2,25805000,51610000,Xe tải thuê ngoài,105000,Hoàn tất
SHIP20260600366,PICK20260600366,SO20260600366,2026-06-17 09:11,2026-06-18 01:37,2026-06-18 18:01,HCM-Q7,WH-HCM-02,MW-640EAD,Lò vi sóng,Sharp 20L,LG,2,1498000,2996000,GrabExpress,0,Đã giao
SHIP20260600367,PICK20260600367,SO20260600367,2026-06-18 14:33,2026-06-19 01:38,2026-06-20 13:18,HCM-TB,WH-HCM-03,FN-C43CC3,Quạt,Senko,Electrolux,1,1743000,1743000,GHN,65000,Hoàn tất
SHIP20260600368,PICK20260600368,SO20260600368,2026-06-02 20:45,2026-06-03 13:01,2026-06-04 02:15,DN-HC,WH-DN-01,WM-CD87CF,Máy giặt,Toshiba 9kg,Aqua,1,5566000,5566000,GHN,25000,Hoàn tất
SHIP20260600369,PICK20260600369,SO20260600369,2026-06-18 12:22,2026-06-18 20:19,2026-06-19 10:14,BD-TDM,WH-BD-01,RF-0980E0,Tủ lạnh,Samsung Inverter 350L,Mitsubishi,3,13915000,41745000,Nội bộ,125000,Đã giao
SHIP20260600370,PICK20260600370,SO20260600370,2026-06-25 13:52,2026-06-26 07:03,2026-06-27 08:20,HCM-Q7,WH-HCM-02,MW-21A949,Lò vi sóng,Panasonic 25L,Cuckoo,2,1826000,3652000,GHN,90000,Hoàn tất
SHIP20260600371,PICK20260600371,SO20260600371,2026-06-16 18:38,2026-06-17 03:26,2026-06-17 19:54,HCM-Q1,WH-HCM-01,RC-73BA31,Nồi cơm,Cuckoo 1.8L,Toshiba,2,1465000,2930000,GHN,35000,Giao lại
SHIP20260600372,PICK20260600372,SO20260600372,2026-06-20 12:42,2026-06-20 22:15,2026-06-21 05:37,HCM-Q7,WH-HCM-02,RF-0C269E,Tủ lạnh,Panasonic 300L,Philips,2,7676000,15352000,Nội bộ,225000,Hoàn tất
SHIP20260600373,PICK20260600373,SO20260600373,2026-06-25 16:38,2026-06-26 07:17,2026-06-27 18:02,CT-NK,WH-CT-01,WM-15F54A,Máy giặt,LG 9kg,Sharp,2,8026000,16052000,GHN,215000,Đã giao
SHIP20260600374,PICK20260600374,SO20260600374,2026-06-01 09:07,2026-06-02 04:00,2026-06-02 20:40,HN-CG,WH-HN-01,AC-0202C4,Máy lạnh,Mitsubishi 1.5HP,Senko,2,12063000,24126000,GrabExpress,165000,Hoàn tất
SHIP20260600375,PICK20260600375,SO20260600375,2026-06-07 17:49,2026-06-08 05:50,2026-06-09 01:16,CT-NK,WH-CT-01,AC-CBBDDE,Máy lạnh,Panasonic 1.5HP,Sharp,2,7060000,14120000,GrabExpress,270000,Đã giao
SHIP20260600376,PICK20260600376,SO20260600376,2026-06-24 08:02,2026-06-24 18:46,2026-06-25 14:00,DN-HC,WH-DN-01,WM-CFD2AA,Máy giặt,Toshiba 9kg,Philips,2,5429000,10858000,Ahamove,65000,Đã giao
SHIP20260600377,PICK20260600377,SO20260600377,2026-06-15 13:46,2026-06-16 06:08,2026-06-17 06:25,DN-HC,WH-DN-01,RC-73BA31,Nồi cơm,Cuckoo 1.8L,Toshiba,1,1037000,1037000,Xe tải thuê ngoài,45000,Giao lại
SHIP20260600378,PICK20260600378,SO20260600378,2026-06-07 19:12,2026-06-08 03:59,2026-06-09 04:47,HCM-TB,WH-HCM-03,BL-A928A4,Máy xay,Philips Blender,LG,2,1001000,2002000,Xe tải thuê ngoài,45000,Đã giao
SHIP20260600379,PICK20260600379,SO20260600379,2026-06-10 12:09,2026-06-10 19:35,2026-06-11 14:57,DN-HC,WH-DN-01,RF-4D4BA4,Tủ lạnh,Aqua 250L,Philips,1,15657000,15657000,Ahamove,165000,Đã giao
SHIP20260600380,PICK20260600380,SO20260600380,2026-06-01 11:24,2026-06-01 23:04,2026-06-03 11:34,CT-NK,WH-CT-01,WM-5CD83A,Máy giặt,LG 9kg,Samsung,1,7613000,7613000,GrabExpress,90000,Đã giao
SHIP20260600381,PICK20260600381,SO20260600381,2026-06-11 15:28,2026-06-11 17:21,2026-06-12 06:18,HCM-TB,WH-HCM-03,FN-7632BC,Quạt,Asia,Panasonic,2,1082000,2164000,Xe tải thuê ngoài,65000,Đã giao
SHIP20260600382,PICK20260600382,SO20260600382,2026-06-08 18:54,2026-06-09 03:55,2026-06-10 01:58,HCM-TB,WH-HCM-03,TV-299EB8,TV,LG OLED 48,Electrolux,2,29171000,58342000,Xe tải thuê ngoài,80000,Hoàn tất
SHIP20260600383,PICK20260600383,SO20260600383,2026-06-03 16:07,2026-06-04 08:01,2026-06-05 19:50,HN-CG,WH-HN-01,BL-8778AF,Máy xay,Philips Blender,Mitsubishi,2,732000,1464000,Nội bộ,35000,Đã giao
SHIP20260600384,PICK20260600384,SO20260600384,2026-06-23 09:09,2026-06-23 19:00,2026-06-24 16:07,HCM-TB,WH-HCM-03,FN-EEAA84,Quạt,Asia,Toshiba,3,832000,2496000,Nội bộ,65000,Đã giao
SHIP20260600385,PICK20260600385,SO20260600385,2026-06-13 08:26,2026-06-13 19:26,2026-06-14 22:05,HCM-Q7,WH-HCM-02,RC-C7DE50,Nồi cơm,Cuckoo 1.8L,Cuckoo,1,2064000,2064000,Xe tải thuê ngoài,120000,Giao lại
SHIP20260600386,PICK20260600386,SO20260600386,2026-06-01 16:59,2026-06-02 00:32,2026-06-02 19:41,HCM-Q1,WH-HCM-01,BL-2DE930,Máy xay,Sunhouse Blender,Toshiba,1,1436000,1436000,GHN,120000,Đã giao
SHIP20260600387,PICK20260600387,SO20260600387,2026-06-17 18:08,2026-06-17 23:37,2026-06-18 07:59,HN-HBT,WH-HN-02,RC-BA76D0,Nồi cơm,Panasonic 1.8L,Daikin,2,2322000,4644000,Nội bộ,25000,Đã giao
SHIP20260600388,PICK20260600388,SO20260600388,2026-06-04 09:38,2026-06-04 14:06,2026-06-05 13:40,HN-CG,WH-HN-01,KT-8BE75F,Ấm siêu tốc,Kangaroo,Samsung,3,419000,1257000,Ahamove,25000,Đã giao
SHIP20260600389,PICK20260600389,SO20260600389,2026-06-22 10:25,2026-06-22 18:41,2026-06-23 08:51,HCM-Q1,WH-HCM-01,WM-3E2B9E,Máy giặt,Toshiba 9kg,Cuckoo,1,4181000,4181000,Nội bộ,35000,Giao lại
SHIP20260600390,PICK20260600390,SO20260600390,2026-06-09 10:30,2026-06-09 12:08,2026-06-10 06:44,HN-CG,WH-HN-01,MW-33B2FE,Lò vi sóng,Electrolux 23L,Samsung,2,3316000,6632000,Nội bộ,35000,Đã giao
SHIP20260600391,PICK20260600391,SO20260600391,2026-06-14 12:38,2026-06-14 16:54,2026-06-15 05:06,HCM-Q7,WH-HCM-02,KT-2036D6,Ấm siêu tốc,Kangaroo,Panasonic,2,193000,386000,Nội bộ,35000,Giao lại
SHIP20260600392,PICK20260600392,SO20260600392,2026-06-14 08:42,2026-06-14 17:14,2026-06-15 20:19,DN-HC,WH-DN-01,VC-852D6B,Máy hút bụi,Philips FC,Sunhouse,1,8756000,8756000,GrabExpress,35000,Đã giao
SHIP20260600393,PICK20260600393,SO20260600393,2026-06-10 09:56,2026-06-11 01:07,2026-06-11 17:46,BD-TDM,WH-BD-01,RC-F33150,Nồi cơm,Panasonic 1.8L,Casper,2,1170000,2340000,Nội bộ,65000,Đã giao
SHIP20260600394,PICK20260600394,SO20260600394,2026-06-19 13:44,2026-06-19 23:06,2026-06-20 12:53,HCM-TB,WH-HCM-03,FN-C25C4D,Quạt,Senko,Asia,2,352000,704000,GHN,65000,Đã giao
SHIP20260600395,PICK20260600395,SO20260600395,2026-06-01 20:32,2026-06-02 13:05,2026-06-03 09:04,BD-TDM,WH-BD-01,MW-B116A2,Lò vi sóng,Panasonic 25L,Senko,3,1241000,3723000,GrabExpress,35000,Hoàn tất
SHIP20260600396,PICK20260600396,SO20260600396,2026-06-14 17:02,2026-06-15 02:55,2026-06-15 14:58,HCM-Q1,WH-HCM-01,AC-6D8176,Máy lạnh,Casper 1HP,Xiaomi,2,12403000,24806000,GrabExpress,120000,Đã giao
SHIP20260600397,PICK20260600397,SO20260600397,2026-06-27 18:59,2026-06-28 11:27,2026-06-28 23:06,DN-HC,WH-DN-01,TV-ADCC29,TV,"TCL 50""",Sony,3,13069000,39207000,Nội bộ,115000,Hoàn tất
SHIP20260600398,PICK20260600398,SO20260600398,2026-06-04 19:16,2026-06-05 10:52,2026-06-06 08:24,HN-HBT,WH-HN-02,VC-09CEE7,Máy hút bụi,Dyson V8,Philips,2,3026000,6052000,Nội bộ,35000,Đã giao
SHIP20260600399,PICK20260600399,SO20260600399,2026-06-02 10:19,2026-06-03 03:47,2026-06-03 16:27,HCM-Q7,WH-HCM-02,BL-9D0A0A,Máy xay,Sunhouse Blender,Cuckoo,2,1528000,3056000,Xe tải thuê ngoài,120000,Giao lại
SHIP20260600400,PICK20260600400,SO20260600400,2026-06-17 20:26,2026-06-18 06:22,2026-06-18 09:22,HCM-Q7,WH-HCM-02,VC-D86280,Máy hút bụi,Philips FC,Mitsubishi,2,2550000,5100000,Xe tải thuê ngoài,45000,Hoàn tất
SHIP20260600401,PICK20260600401,SO20260600401,2026-06-21 14:23,2026-06-22 00:46,2026-06-23 07:17,HCM-TB,WH-HCM-03,WM-694A64,Máy giặt,Toshiba 9kg,Mitsubishi,1,8036000,8036000,Ahamove,45000,Đã giao
SHIP20260600402,PICK20260600402,SO20260600402,2026-06-10 08:17,2026-06-10 15:36,2026-06-11 09:29,HCM-Q7,WH-HCM-02,RC-6CF84A,Nồi cơm,Cuckoo 1.8L,Daikin,1,798000,798000,Xe tải thuê ngoài,35000,Hoàn tất
SHIP20260600403,PICK20260600403,SO20260600403,2026-06-04 16:18,2026-06-05 09:57,2026-06-06 01:41,DN-HC,WH-DN-01,TV-65B17D,TV,"Sony 65""",Samsung,2,8726000,17452000,GHN,270000,Giao lại
SHIP20260600404,PICK20260600404,SO20260600404,2026-06-22 18:41,2026-06-23 13:05,2026-06-24 17:42,HN-HBT,WH-HN-02,TV-5243F8,TV,"Samsung 55"" 4K",LG,1,6563000,6563000,GHN,65000,Đã giao
SHIP20260600405,PICK20260600405,SO20260600405,2026-06-15 18:00,2026-06-16 08:26,2026-06-16 19:34,HN-CG,WH-HN-01,RF-082E8A,Tủ lạnh,Panasonic 300L,Senko,2,15871000,31742000,Xe tải thuê ngoài,215000,Giao lại
SHIP20260600406,PICK20260600406,SO20260600406,2026-06-13 10:40,2026-06-13 15:27,2026-06-14 07:30,DN-HC,WH-DN-01,TV-DE1879,TV,"Samsung 55"" 4K",Asia,3,12216000,36648000,Ahamove,270000,Đã giao
SHIP20260600407,PICK20260600407,SO20260600407,2026-06-14 20:57,2026-06-15 10:25,2026-06-15 16:57,HCM-Q1,WH-HCM-01,VC-FA3352,Máy hút bụi,Dyson V8,Aqua,1,4231000,4231000,GrabExpress,65000,Đã giao
SHIP20260600408,PICK20260600408,SO20260600408,2026-06-25 08:12,2026-06-25 15:07,2026-06-26 00:16,DN-HC,WH-DN-01,RC-C8DD6A,Nồi cơm,Panasonic 1.8L,LG,3,2135000,6405000,Ahamove,45000,Đã giao
SHIP20260600409,PICK20260600409,SO20260600409,2026-06-16 20:54,2026-06-17 04:45,2026-06-18 15:47,HCM-TB,WH-HCM-03,TV-3A9F5F,TV,LG OLED 48,Casper,1,16585000,16585000,Nội bộ,145000,Hoàn tất
SHIP20260600410,PICK20260600410,SO20260600410,2026-06-17 17:05,2026-06-18 09:47,2026-06-18 16:32,DN-HC,WH-DN-01,KT-C76795,Ấm siêu tốc,Philips,Aqua,2,488000,976000,Xe tải thuê ngoài,90000,Đã giao
SHIP20260600411,PICK20260600411,SO20260600411,2026-06-26 20:00,2026-06-27 09:14,2026-06-27 16:10,BD-TDM,WH-BD-01,TV-65942A,TV,"Sony 65""",Toshiba,3,17811000,53433000,Nội bộ,145000,Hoàn tất
SHIP20260600412,PICK20260600412,SO20260600412,2026-06-09 14:10,2026-06-10 00:50,2026-06-11 06:22,HCM-TB,WH-HCM-03,RF-F6944C,Tủ lạnh,LG 420L,Sunhouse,1,15336000,15336000,Ahamove,225000,Giao lại
SHIP20260600413,PICK20260600413,SO20260600413,2026-06-17 15:04,2026-06-18 05:21,2026-06-19 16:29,HCM-Q1,WH-HCM-01,BL-95987D,Máy xay,Philips Blender,Asia,2,1587000,3174000,Xe tải thuê ngoài,25000,Hoàn tất
SHIP20260600414,PICK20260600414,SO20260600414,2026-06-15 14:45,2026-06-16 09:32,2026-06-17 06:43,BD-TDM,WH-BD-01,RC-D3B39E,Nồi cơm,Sharp 1.8L,Sony,2,1252000,2504000,Ahamove,45000,Đã giao
SHIP20260600415,PICK20260600415,SO20260600415,2026-06-20 17:38,2026-06-20 20:34,2026-06-21 23:31,DN-HC,WH-DN-01,FN-A270E1,Quạt,Asia,Sony,1,1475000,1475000,Ahamove,35000,Đã giao
SHIP20260600416,PICK20260600416,SO20260600416,2026-06-23 16:38,2026-06-24 01:40,2026-06-25 04:51,DN-HC,WH-DN-01,TV-ADCC29,TV,"TCL 50""",Sony,1,12616000,12616000,Nội bộ,45000,Hoàn tất
SHIP20260600417,PICK20260600417,SO20260600417,2026-06-16 18:47,2026-06-17 11:49,2026-06-17 19:56,HCM-TB,WH-HCM-03,RF-709E60,Tủ lạnh,LG 420L,LG,1,18750000,18750000,GrabExpress,80000,Đã giao
SHIP20260600418,PICK20260600418,SO20260600418,2026-06-28 09:28,2026-06-28 22:00,2026-06-30 02:52,HN-CG,WH-HN-01,RF-99918D,Tủ lạnh,LG 420L,Casper,3,12498000,37494000,Ahamove,300000,Hoàn tất
SHIP20260600419,PICK20260600419,SO20260600419,2026-06-21 11:03,2026-06-21 20:07,2026-06-23 08:41,HCM-Q7,WH-HCM-02,BL-F7CCD6,Máy xay,Sunhouse Blender,Asia,3,1420000,4260000,GHN,65000,Đã giao
SHIP20260600420,PICK20260600420,SO20260600420,2026-06-19 08:30,2026-06-20 01:04,2026-06-20 19:49,HN-CG,WH-HN-01,FN-AB0CC6,Quạt,Asia,Xiaomi,1,797000,797000,Xe tải thuê ngoài,90000,Hoàn tất
SHIP20260600421,PICK20260600421,SO20260600421,2026-06-08 16:42,2026-06-09 10:03,2026-06-10 18:31,HCM-Q1,WH-HCM-01,BL-2DE930,Máy xay,Sunhouse Blender,Toshiba,1,1402000,1402000,Xe tải thuê ngoài,0,Đã giao
SHIP20260600422,PICK20260600422,SO20260600422,2026-06-27 12:21,2026-06-27 23:01,2026-06-28 10:40,HN-HBT,WH-HN-02,RF-7A08B1,Tủ lạnh,Samsung Inverter 350L,Xiaomi,3,4383000,13149000,GrabExpress,90000,Đã giao
SHIP20260600423,PICK20260600423,SO20260600423,2026-06-20 17:44,2026-06-21 09:11,2026-06-22 15:51,HCM-Q1,WH-HCM-01,BL-08E06D,Máy xay,Philips Blender,Casper,2,386000,772000,Xe tải thuê ngoài,120000,Giao lại
SHIP20260600424,PICK20260600424,SO20260600424,2026-06-08 20:08,2026-06-09 12:08,2026-06-10 12:08,BD-TDM,WH-BD-01,VC-852D6B,Máy hút bụi,Philips FC,Sunhouse,1,2712000,2712000,GrabExpress,0,Giao lại
SHIP20260600425,PICK20260600425,SO20260600425,2026-06-24 09:54,2026-06-24 17:15,2026-06-25 20:27,HN-CG,WH-HN-01,RF-309876,Tủ lạnh,Aqua 250L,LG,2,15526000,31052000,GrabExpress,80000,Đã giao
SHIP20260600426,PICK20260600426,SO20260600426,2026-06-11 10:56,2026-06-11 14:36,2026-06-12 05:54,BD-TDM,WH-BD-01,VC-3898BC,Máy hút bụi,Xiaomi G10,Toshiba,3,2313000,6939000,Ahamove,120000,Đã giao
SHIP20260600427,PICK20260600427,SO20260600427,2026-06-30 13:04,2026-06-30 14:37,2026-07-01 15:34,HN-CG,WH-HN-01,WM-4F93AF,Máy giặt,LG 9kg,Sunhouse,3,5518000,16554000,Ahamove,200000,Hoàn tất
SHIP20260600428,PICK20260600428,SO20260600428,2026-06-10 12:37,2026-06-11 03:16,2026-06-11 14:11,DN-HC,WH-DN-01,FN-7632BC,Quạt,Asia,Panasonic,3,1400000,4200000,Xe tải thuê ngoài,90000,Giao lại
SHIP20260600429,PICK20260600429,SO20260600429,2026-06-21 08:31,2026-06-21 10:40,2026-06-22 21:24,DN-HC,WH-DN-01,WM-EAF44E,Máy giặt,Panasonic 8.5kg,Panasonic,2,9669000,19338000,Nội bộ,205000,Đã giao
SHIP20260600430,PICK20260600430,SO20260600430,2026-06-25 16:45,2026-06-26 07:39,2026-06-26 10:16,HCM-Q7,WH-HCM-02,BL-01E9C7,Máy xay,Panasonic Blender,Samsung,2,1001000,2002000,GHN,0,Đã giao
SHIP20260600431,PICK20260600431,SO20260600431,2026-06-24 17:17,2026-06-25 00:42,2026-06-26 11:14,HCM-Q1,WH-HCM-01,AC-BBBEF9,Máy lạnh,Casper 1HP,Sharp,1,6092000,6092000,Ahamove,0,Hoàn tất
SHIP20260600432,PICK20260600432,SO20260600432,2026-06-08 19:03,2026-06-08 20:59,2026-06-09 23:59,HN-CG,WH-HN-01,RF-4A3E4F,Tủ lạnh,Aqua 250L,Daikin,2,4388000,8776000,GrabExpress,45000,Giao lại
SHIP20260600433,PICK20260600433,SO20260600433,2026-06-24 09:46,2026-06-24 16:48,2026-06-25 20:42,HCM-Q1,WH-HCM-01,AC-3E9D78,Máy lạnh,Mitsubishi 1.5HP,Electrolux,2,6702000,13404000,Nội bộ,180000,Đã giao
SHIP20260600434,PICK20260600434,SO20260600434,2026-06-20 17:19,2026-06-21 05:02,2026-06-22 15:09,HCM-Q1,WH-HCM-01,KT-EFA122,Ấm siêu tốc,Sunhouse,Daikin,2,467000,934000,GrabExpress,65000,Hoàn tất
SHIP20260600435,PICK20260600435,SO20260600435,2026-06-23 16:37,2026-06-24 06:26,2026-06-25 12:02,DN-HC,WH-DN-01,BL-3258EA,Máy xay,Panasonic Blender,Mitsubishi,2,1880000,3760000,Nội bộ,120000,Hoàn tất
SHIP20260600436,PICK20260600436,SO20260600436,2026-06-17 18:50,2026-06-17 20:42,2026-06-19 07:09,HN-HBT,WH-HN-02,VC-A4DECF,Máy hút bụi,Dyson V8,Mitsubishi,1,6561000,6561000,GrabExpress,35000,Đã giao
SHIP20260600437,PICK20260600437,SO20260600437,2026-06-05 17:37,2026-06-06 11:29,2026-06-06 19:54,DN-HC,WH-DN-01,TV-ADCC29,TV,"TCL 50""",Sony,3,11655000,34965000,GHN,185000,Giao lại
SHIP20260600438,PICK20260600438,SO20260600438,2026-06-07 19:51,2026-06-08 14:30,2026-06-09 23:16,HN-HBT,WH-HN-02,RF-FB4D4D,Tủ lạnh,Samsung Inverter 350L,Samsung,3,8450000,25350000,Xe tải thuê ngoài,210000,Đã giao
SHIP20260600439,PICK20260600439,SO20260600439,2026-06-12 20:28,2026-06-13 07:58,2026-06-14 14:25,HCM-Q7,WH-HCM-02,WM-B05DAD,Máy giặt,LG 9kg,Sony,3,10279000,30837000,Nội bộ,240000,Đã giao
SHIP20260600440,PICK20260600440,SO20260600440,2026-06-14 18:06,2026-06-15 12:03,2026-06-16 17:45,CT-NK,WH-CT-01,RC-56CDC9,Nồi cơm,Sharp 1.8L,Sharp,3,1487000,4461000,GrabExpress,45000,Đã giao
SHIP20260600441,PICK20260600441,SO20260600441,2026-06-25 14:34,2026-06-25 15:42,2026-06-27 03:04,HN-HBT,WH-HN-02,BL-8AFBB7,Máy xay,Panasonic Blender,Xiaomi,2,1558000,3116000,Nội bộ,0,Hoàn tất
SHIP20260600442,PICK20260600442,SO20260600442,2026-06-18 09:54,2026-06-19 02:21,2026-06-19 23:46,CT-NK,WH-CT-01,TV-C528C6,TV,LG OLED 48,Cuckoo,3,21120000,63360000,Ahamove,205000,Đã giao
SHIP20260600443,PICK20260600443,SO20260600443,2026-06-09 10:06,2026-06-09 14:42,2026-06-10 10:33,HCM-Q7,WH-HCM-02,AC-4CE3DD,Máy lạnh,Panasonic 1.5HP,Samsung,2,9864000,19728000,GrabExpress,185000,Đã giao
SHIP20260600444,PICK20260600444,SO20260600444,2026-06-16 19:05,2026-06-17 12:22,2026-06-18 04:54,BD-TDM,WH-BD-01,RF-E1EA3E,Tủ lạnh,Samsung Inverter 350L,Sunhouse,2,8975000,17950000,Xe tải thuê ngoài,115000,Hoàn tất
SHIP20260600445,PICK20260600445,SO20260600445,2026-06-25 17:14,2026-06-26 09:06,2026-06-27 06:48,HCM-TB,WH-HCM-03,RF-6FD99B,Tủ lạnh,Panasonic 300L,Casper,3,5126000,15378000,Xe tải thuê ngoài,125000,Giao lại
SHIP20260600446,PICK20260600446,SO20260600446,2026-06-26 12:11,2026-06-26 22:11,2026-06-28 05:41,HCM-Q1,WH-HCM-01,VC-36242C,Máy hút bụi,Xiaomi G10,Sony,1,7926000,7926000,Xe tải thuê ngoài,65000,Giao lại
SHIP20260600447,PICK20260600447,SO20260600447,2026-06-28 19:48,2026-06-29 02:21,2026-06-30 12:09,DN-HC,WH-DN-01,BL-67F131,Máy xay,Sunhouse Blender,Panasonic,1,381000,381000,Ahamove,65000,Hoàn tất
SHIP20260600448,PICK20260600448,SO20260600448,2026-06-04 15:48,2026-06-05 05:49,2026-06-06 18:02,HN-CG,WH-HN-01,WM-EE77C3,Máy giặt,Toshiba 9kg,Panasonic,3,13373000,40119000,Nội bộ,105000,Đã giao
